n, x1, x2, y, phi1, phi2, Ax, Ay, Bx, By, C, time
100, -0.203977, 0.204149, 0.178725, 2.154503, 2.156649, -0.353000, 0.277280, 0.353000, 0.277280, 1.178097, 23069.000000
101, -0.211705, 0.211808, 0.172857, 2.183616, 2.185171, -0.353000, 0.272335, 0.353000, 0.272335, 1.178097, 23174.000000
102, -0.219556, 0.219568, 0.166954, 2.214513, 2.215253, -0.353000, 0.267205, 0.353000, 0.267205, 1.178097, 22974.000000
103, -0.227454, 0.227362, 0.161073, 2.247027, 2.246779, -0.353000, 0.261922, 0.353000, 0.261922, 1.178097, 22506.000000
104, -0.235329, 0.235130, 0.155262, 2.280967, 2.279636, -0.353000, 0.256518, 0.353000, 0.256518, 1.178097, 23000.000000
105, -0.243118, 0.242818, 0.149568, 2.316118, 2.313720, -0.353000, 0.251023, 0.353000, 0.251023, 1.178097, 22928.000000
106, -0.250760, 0.250383, 0.144025, 2.352250, 2.348945, -0.353000, 0.245469, 0.353000, 0.245469, 1.178097, 22982.000000
107, -0.258205, 0.257791, 0.138666, 2.389130, 2.385241, -0.353000, 0.239887, 0.353000, 0.239887, 1.178097, 22840.000000
108, -0.265412, 0.265015, 0.133513, 2.426541, 2.422560, -0.353000, 0.234307, 0.353000, 0.234307, 1.178097, 23074.000000
109, -0.272355, 0.272037, 0.128581, 2.464312, 2.460862, -0.353000, 0.228759, 0.353000, 0.228759, 1.178097, 24014.000000
110, -0.279021, 0.278845, 0.123878, 2.502350, 2.500086, -0.353000, 0.223272, 0.353000, 0.223272, 1.178097, 23518.000000
111, -0.285410, 0.285421, 0.119408, 2.540646, 2.540108, -0.353000, 0.217874, 0.353000, 0.217874, 1.178097, 24022.000000
112, -0.291531, 0.291739, 0.115173, 2.579252, 2.580697, -0.353000, 0.212592, 0.353000, 0.212592, 1.178097, 22812.000000
113, -0.297389, 0.297767, 0.111173, 2.618211, 2.621490, -0.353000, 0.207451, 0.353000, 0.207451, 1.178097, 22692.000000
114, -0.302982, 0.303462, 0.107414, 2.657471, 2.662030, -0.353000, 0.202477, 0.353000, 0.202477, 1.178097, 23439.000000
115, -0.308293, 0.308788, 0.103902, 2.696828, 2.701825, -0.353000, 0.197693, 0.353000, 0.197693, 1.178097, 22858.000000
116, -0.313297, 0.313717, 0.100644, 2.735936, 2.740424, -0.353000, 0.193122, 0.353000, 0.193122, 1.178097, 22785.000000
117, -0.317969, 0.318235, 0.097646, 2.774367, 2.777455, -0.353000, 0.188785, 0.353000, 0.188785, 1.178097, 22688.000000
118, -0.322287, 0.322341, 0.094908, 2.811672, 2.812616, -0.353000, 0.184702, 0.353000, 0.184702, 1.178097, 23076.000000
119, -0.326240, 0.326041, 0.092429, 2.847420, 2.845664, -0.353000, 0.180892, 0.353000, 0.180892, 1.178097, 23051.000000
120, -0.329818, 0.329348, 0.090203, 2.881210, 2.876394, -0.353000, 0.177371, 0.353000, 0.177371, 1.178097, 23246.000000
